#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B5DA9C
#Date Time: 2025-03-02 14:43:30.767
#Sample rate: 1.2987e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 50 mV/div Offset: 20 mV Sample Mode: Average

Time (s),Channel 1 (V)
-0.004417969268668206,-5.803957539713203e-05
-0.004417199268668206,-5.803957539834905e-05
-0.004416429268668207,-0.001396166126563169
-0.004415659268668206,-5.803957539713203e-05
-0.004414889268668207,0.0002764920623945302
-0.004414119268668207,-5.803957539697992e-05
-0.004413349268668206,-0.0003925712131883379
-0.004412579268668206,0.0006110237001861925
-0.004411809268668207,0.0002764920623946823
-0.004411039268668206,0.001280086975768753
-0.004410269268668206,-0.0003925712131887943
-0.004409499268668206,-0.0003925712131887943
-0.004408729268668206,0.001280086975768296
-0.004407959268668207,-5.803957539652358e-05
-0.004407189268668206,0.0002764920623945302
-0.004406419268668207,0.0006110237001861925
-0.004405649268668207,-5.80395753968278e-05
-0.004404879268668206,-5.803957539713203e-05
-0.004404109268668206,-5.803957539713203e-05
-0.004403339268668207,0.0002764920623943781
-0.004402569268668206,0.0006110237001857361
-0.004401799268668206,-0.0003925712131886422
-0.004401029268668206,-5.803957539713203e-05
-0.004400259268668206,0.0006110237001855839
-0.004399489268668207,-5.80395753968278e-05
-0.004398719268668206,0.0002764920623945302
-0.004397949268668207,-5.803957539713203e-05
-0.004397179268668207,-0.0003925712131886422
-0.004396409268668206,-5.803957539682778e-05
-0.004395639268668206,0.0006110237001861925
-0.004394869268668207,-0.0003925712131883378
-0.004394099268668206,-0.0003925712131887943
-0.004393329268668206,-0.0003925712131883379
-0.004392559268668206,0.0006110237001861925
-0.004391789268668206,-0.0003925712131878815
-0.004391019268668207,0.000611023700185736
-0.004390249268668206,0.0009455553379778513
-0.004389479268668207,0.0006110237001861925
-0.004388709268668207,0.001280086975769209
-0.004387939268668206,0.0002764920623943781
-0.004387169268668206,-5.803957539713203e-05
-0.004386399268668207,0.0002764920623943781
-0.004385629268668206,-5.803957539652352e-05
-0.004384859268668206,0.001280086975769209
-0.004384089268668206,0.0006110237001861925
-0.004383319268668206,-0.0003925712131887943
-0.004382549268668207,-0.0003925712131887943
-0.004381779268668206,-0.0007271028509804531
-0.004381009268668207,-0.0003925712131887943
-0.004380239268668207,0.001280086975768753
-0.004379469268668206,0.0006110237001860404
-0.004378699268668206,0.0002764920623945302
-0.004377929268668207,-5.803957539697992e-05
-0.004377159268668206,0.000945555337977547
-0.004376389268668206,0.0002764920623945302
-0.004375619268668206,0.0002764920623945302
-0.004374849268668206,-5.803957539713203e-05
-0.004374079268668207,-5.803957539713203e-05
-0.004373309268668206,0.0006110237001861925
-0.004372539268668207,0.0002764920623945302
-0.004371769268668207,0.0002764920623945302
-0.004370999268668206,-5.803957539682778e-05
-0.004370229268668206,0.0006110237001861925
-0.004369459268668207,-0.0003925712131883378
-0.004368689268668206,-5.803957539713203e-05
-0.004367919268668206,-5.803957539713203e-05
-0.004367149268668206,-5.803957539713203e-05
-0.004366379268668206,0.0009455553379772427
-0.004365609268668207,0.0002764920623948345
-0.004364839268668206,0.0002764920623945302
-0.004364069268668207,0.0002764920623945302
-0.004363299268668207,-5.803957539697992e-05
-0.004362529268668206,0.0002764920623945302
-0.004361759268668206,0.0002764920623945302
-0.004360989268668207,0.0002764920623945302
-0.004360219268668206,0.0009455553379772427
-0.004359449268668207,-0.0003925712131875772
-0.004358679268668206,0.0002764920623945302
-0.004357909268668206,0.0006110237001855839
-0.004357139268668207,-5.80395753968278e-05
-0.004356369268668206,-5.803957539713203e-05
-0.004355599268668207,-5.803957539713203e-05
-0.004354829268668207,-0.0003925712131886422
-0.004354059268668206,0.0009455553379780034
-0.004353289268668206,0.001280086975769514
-0.004352519268668207,0.0006110237001861925
-0.004351749268668206,0.0006110237001858883
-0.004350979268668207,-5.803957539652347e-05
-0.004350209268668206,0.0006110237001861925
-0.004349439268668206,0.0002764920623942259
-0.004348669268668207,-5.803957539697992e-05
-0.004347899268668206,0.0009455553379778513
-0.004347129268668207,0.0002764920623945302
-0.004346359268668207,0.0002764920623945302
-0.004345589268668206,-5.803957539713203e-05
-0.004344819268668206,-5.803957539713203e-05
-0.004344049268668207,0.0006110237001861925
-0.004343279268668206,0.0002764920623945302
-0.004342509268668207,0.0002764920623945302
-0.004341739268668206,0.001280086975769514
-0.004340969268668206,0.0002764920623942259
-0.004340199268668207,-5.803957539697992e-05
-0.004339429268668206,0.0002764920623945302
-0.004338659268668207,0.0009455553379778513
-0.004337889268668207,-5.803957539667558e-05
-0.004337119268668206,0.0009455553379773949
-0.004336349268668206,-5.803957539713203e-05
-0.004335579268668207,0.0006110237001861925
-0.004334809268668206,0.0002764920623945302
-0.004334039268668207,0.0002764920623945302
-0.004333269268668206,0.001280086975769514
-0.004332499268668206,0.0009455553379772427
-0.004331729268668207,0.0002764920623948345
-0.004330959268668206,-0.0007271028509804531
-0.004330189268668207,0.001280086975769514
-0.004329419268668207,0.001280086975769514
-0.004328649268668206,0.0006110237001860404
-0.004327879268668206,0.0002764920623945302
-0.004327109268668207,0.0002764920623945302
-0.004326339268668206,0.0006110237001863446
-0.004325569268668207,0.000945555337977547
-0.004324799268668206,0.0002764920623945302
-0.004324029268668206,0.0006110237001846712
-0.004323259268668207,-0.001061634488771355
-0.004322489268668206,0.0006110237001861925
-0.004321719268668207,0.0009455553379778513
-0.004320949268668207,0.001280086975769361
-0.004320179268668206,0.002283681889144192
-0.004319409268668206,0.001614618613561176
-0.004318639268668207,0.001280086975769514
