Time (s),Voltage (Volts),Voltage (microvolts)
0.2110853129,0.0007088071716,708.8071716
0.2126844429,0.0007088071716,708.8071716
0.2142835729,0.0003742755338,374.2755338
0.2158827029,0.0003742755338,374.2755338
0.2174818329,0.0003742755338,374.2755338
0.2190809629,0.0003742755338,374.2755338
0.2206800929,0.0003742755338,374.2755338
0.2222792229,0.0007088071716,708.8071716
0.2238783529,0.0007088071716,708.8071716
0.2254774829,0.0007088071716,708.8071716
0.2270766129,0.0007088071716,708.8071716
0.2286757429,0.0007088071716,708.8071716
0.2302748729,0.0003742755338,374.2755338
0.2318740029,0.0003742755338,374.2755338
0.2334731329,0.0003742755338,374.2755338
0.2350722629,3.97E-05,3.97E+01
0.2366713929,0.0003742755338,374.2755338
0.2382705229,0.0003742755338,374.2755338
0.2398696529,0.0007088071716,708.8071716
0.2414687829,0.0007088071716,708.8071716
0.2430679129,0.0007088071716,708.8071716
0.2446670429,0.0007088071716,708.8071716
0.2462661729,0.0007088071716,708.8071716
0.2478653029,0.0003742755338,374.2755338
0.2494644329,0.0003742755338,374.2755338
0.2510635629,0.0003742755338,374.2755338
0.2526626929,0.0003742755338,374.2755338
0.2542618229,0.0003742755338,374.2755338
0.2558609529,0.0007088071716,708.8071716
0.2574600829,0.0007088071716,708.8071716
0.2590592129,0.0007088071716,708.8071716
0.2606583429,0.0007088071716,708.8071716
0.2622574729,0.0007088071716,708.8071716
0.2638566029,0.0003742755338,374.2755338
0.2654557329,0.0003742755338,374.2755338
0.2670548629,0.0003742755338,374.2755338
0.2686539929,0.0003742755338,374.2755338
0.2702531229,0.0003742755338,374.2755338
0.2718522529,0.0007088071716,708.8071716
0.2734513829,0.0007088071716,708.8071716
0.2750505129,0.0007088071716,708.8071716
0.2766496429,0.0007088071716,708.8071716
0.2782487729,0.0007088071716,708.8071716
0.2798479029,0.0003742755338,374.2755338
0.2814470329,0.0003742755338,374.2755338
0.2830461629,0.0003742755338,374.2755338
0.2846452929,3.97E-05,3.97E+01
0.2862444229,0.0003742755338,374.2755338
0.2878435529,0.0003742755338,374.2755338
0.2894426829,0.0007088071716,708.8071716
0.2910418129,0.0007088071716,708.8071716
0.2926409429,0.0007088071716,708.8071716
0.2942400729,0.0007088071716,708.8071716
0.2958392029,0.0007088071716,708.8071716
0.2974383329,0.0003742755338,374.2755338
0.2990374629,0.0003742755338,374.2755338
0.3006365929,0.0003742755338,374.2755338
0.3022357229,3.97E-05,3.97E+01
0.3038348529,0.0003742755338,374.2755338
0.3054339829,0.0007088071716,708.8071716
0.3070331129,0.0007088071716,708.8071716
0.3086322429,0.0007088071716,708.8071716
0.3102313729,0.0007088071716,708.8071716
0.3118305029,0.0007088071716,708.8071716
0.3134296329,0.0007088071716,708.8071716
0.3150287629,0.0003742755338,374.2755338
0.3166278929,0.0003742755338,374.2755338
0.3182270229,0.0003742755338,374.2755338
0.3198261529,0.0003742755338,374.2755338
0.3214252829,0.0003742755338,374.2755338
0.3230244129,0.0007088071716,708.8071716
0.3246235429,0.0007088071716,708.8071716
0.3262226729,0.0007088071716,708.8071716
0.3278218029,0.0007088071716,708.8071716
0.3294209329,0.0007088071716,708.8071716
0.3310200629,0.0003742755338,374.2755338
